Pclass,Age,SibSp,Parch,Fare,Fare_scaled
2,18.0,0,0,11.5,3.391164991562634
2,36.5,0,2,26.0,5.0990195135927845
3,29.0,0,0,9.4833,3.0794967121268373
3,24.0,0,0,7.05,2.6551836094703507
1,30.72664459161148,0,0,35.5,5.958187643906492
3,25.0,0,0,7.25,2.692582403567252
2,43.0,1,1,26.25,5.123475382979799
2,30.0,0,0,13.0,3.605551275463989
3,30.72664459161148,0,0,14.5,3.8078865529319543
3,9.0,0,2,20.525,4.530452516029718
1,45.0,0,0,26.55,5.152669211195301
3,30.72664459161148,3,1,25.4667,5.046454200723514
3,30.72664459161148,0,0,7.225,2.6879360111431225
3,25.0,0,0,7.225,2.6879360111431225
1,65.0,0,1,61.9792,7.872686961895538
3,32.0,0,0,8.05,2.8372521918222215
3,31.0,0,0,7.75,2.7838821814150108
2,28.0,0,0,13.0,3.605551275463989
1,30.0,0,0,27.75,5.267826876426369
3,32.0,0,0,7.925,2.8151376520518494
1,36.0,0,0,26.3875,5.136876482844414
3,27.0,1,0,14.4542,3.8018679619366056
1,49.0,1,0,89.1042,9.439502105513828
3,18.0,1,0,6.4958,2.5486859359285523
3,22.0,0,0,9.0,3.0
3,31.0,0,0,7.775,2.7883686987197374
2,23.0,2,1,11.5,3.391164991562634
2,36.0,0,0,12.875,3.588175023601831
3,42.0,0,1,8.4042,2.898999827526728
3,25.0,1,0,17.8,4.219004621945797
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,29.0,0,0,7.775,2.7883686987197374
3,21.0,0,0,8.05,2.8372521918222215
1,30.72664459161148,0,0,30.6958,5.5403790484045405
3,30.72664459161148,0,0,8.05,2.8372521918222215
1,42.0,1,0,52.5542,7.24942756360804
3,19.0,0,0,8.05,2.8372521918222215
3,16.0,2,0,18.0,4.242640687119285
1,26.0,0,0,30.0,5.477225575051661
1,30.72664459161148,0,0,29.7,5.449770637375485
1,55.0,0,0,30.5,5.522680508593631
3,30.72664459161148,0,0,7.75,2.7838821814150108
2,23.0,0,0,13.0,3.605551275463989
2,57.0,0,0,12.35,3.5142566781611158
3,44.0,0,0,8.05,2.8372521918222215
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,30.72664459161148,0,0,7.8958,2.8099466187100424
3,17.0,0,0,7.125,2.669269563007828
1,36.0,0,0,40.125,6.334429729659964
2,36.0,0,0,13.0,3.605551275463989
3,29.0,0,0,7.875,2.806243040080456
3,26.0,0,0,7.8875,2.8084693339967237
3,19.0,0,0,7.8958,2.8099466187100424
3,30.72664459161148,2,0,23.25,4.8218253804964775
1,40.0,0,0,0.0,0.0
3,28.5,0,0,16.1,4.012480529547776
3,33.0,0,0,8.6542,2.9418021687394273
1,23.0,0,1,63.3583,7.959792710868795
1,58.0,0,2,113.275,10.643072864544337
1,35.0,0,0,26.55,5.152669211195301
3,21.0,0,0,7.775,2.7883686987197374
3,18.0,1,1,20.2125,4.495831402532795
3,41.0,0,0,7.125,2.669269563007828
3,30.72664459161148,0,0,14.5,3.8078865529319543
1,29.0,1,0,66.6,8.160882305241266
2,32.0,1,0,26.0,5.0990195135927845
1,50.0,1,0,55.9,7.476630257007497
2,30.72664459161148,0,0,0.0,0.0
2,8.0,1,1,36.75,6.06217782649107
3,36.0,1,1,24.15,4.914264950122246
3,61.0,0,0,6.2375,2.4974987487484355
3,16.0,0,0,9.2167,3.035901842945519
3,30.72664459161148,0,0,7.2292,2.688717166233741
1,47.0,0,0,34.0208,5.8327352074305585
1,30.72664459161148,0,0,27.7208,5.26505460560477
1,36.0,1,2,120.0,10.954451150103322
2,36.0,0,0,10.5,3.24037034920393
1,27.0,0,2,211.5,14.543039572248986
1,50.0,1,0,106.425,10.316249318429639
3,30.72664459161148,0,0,7.8958,2.8099466187100424
1,42.0,0,0,26.2875,5.127133702177075
3,18.0,0,0,7.775,2.7883686987197374
1,31.0,1,0,57.0,7.54983443527075
3,30.72664459161148,0,0,7.8958,2.8099466187100424
3,19.0,0,0,0.0,0.0
3,45.0,0,0,6.975,2.6410225292488514
3,38.0,0,0,7.05,2.6551836094703507
3,20.0,0,0,9.5,3.082207001484488
3,30.72664459161148,0,0,14.4583,3.802407132330782
3,30.72664459161148,0,0,7.75,2.7838821814150108
2,25.0,0,0,13.0,3.605551275463989
3,30.72664459161148,0,0,7.8292,2.798070763937181
3,36.0,0,0,7.4958,2.7378458685616325
3,20.0,0,0,7.05,2.6551836094703507
1,33.0,0,0,5.0,2.23606797749979
3,30.72664459161148,0,0,7.55,2.7477263328068173
3,33.0,0,0,9.5,3.082207001484488
1,52.0,1,1,79.65,8.92468486838611
2,21.0,0,0,73.5,8.573214099741124
3,3.0,4,2,31.3875,5.6024548190949295
3,14.0,4,1,39.6875,6.299801584177076
2,0.83,0,2,29.0,5.385164807134504
3,34.0,1,1,14.4,3.794733192202055
3,33.0,1,1,20.525,4.530452516029718
2,34.0,0,0,13.0,3.605551275463989
1,46.0,1,0,61.175,7.8214448793045905
3,51.0,0,0,7.75,2.7838821814150108
2,18.0,0,0,73.5,8.573214099741124
3,16.0,1,3,34.375,5.863019699779287
2,26.0,0,0,10.5,3.24037034920393
3,19.0,0,0,7.8958,2.8099466187100424
1,30.72664459161148,0,0,50.0,7.0710678118654755
3,28.0,0,0,9.5,3.082207001484488
3,30.72664459161148,0,0,7.3125,2.704163456597992
1,49.0,1,1,110.8833,10.530113959497305
3,33.0,0,0,7.8958,2.8099466187100424
1,28.0,0,0,47.1,6.862943974709396
2,25.0,1,2,41.5792,6.448193545482331
1,45.0,1,0,83.475,9.136465399704637
2,39.0,0,0,13.0,3.605551275463989
3,30.72664459161148,0,0,7.8958,2.8099466187100424
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,28.5,0,0,7.2292,2.688717166233741
2,16.0,0,0,10.5,3.24037034920393
2,44.0,1,0,26.0,5.0990195135927845
3,17.0,0,0,8.6625,2.9432125305522874
3,30.72664459161148,0,0,7.8958,2.8099466187100424
1,62.0,0,0,26.55,5.152669211195301
2,35.0,0,0,10.5,3.24037034920393
1,40.0,0,0,31.0,5.5677643628300215
3,30.72664459161148,0,0,9.5,3.082207001484488
3,16.0,1,1,20.25,4.5
3,21.0,0,0,7.25,2.692582403567252
3,15.0,1,1,7.2292,2.688717166233741
3,30.72664459161148,0,0,6.8583,2.6188356191254156
3,24.0,0,0,7.7958,2.792095986888703
1,30.72664459161148,0,0,0.0,0.0
2,24.0,0,0,13.0,3.605551275463989
1,62.0,0,0,26.55,5.152669211195301
2,3.0,1,1,18.75,4.330127018922194
3,26.0,0,0,7.8958,2.8099466187100424
1,30.72664459161148,0,0,25.925,5.091659847240387
3,30.0,0,0,7.225,2.6879360111431225
1,80.0,0,0,30.0,5.477225575051661
3,34.0,0,0,8.05,2.8372521918222215
1,19.0,3,2,263.0,16.217274740226856
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,22.0,1,0,7.25,2.692582403567252
3,18.0,0,0,8.05,2.8372521918222215
1,37.0,1,1,52.5542,7.24942756360804
3,30.72664459161148,1,0,24.15,4.914264950122246
1,30.72664459161148,0,0,26.0,5.0990195135927845
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,22.0,0,0,7.8958,2.8099466187100424
3,20.0,0,0,4.0125,2.003122562401013
3,18.0,0,0,7.7958,2.792095986888703
2,62.0,0,0,10.5,3.24037034920393
3,21.0,0,0,7.8,2.792848008753788
2,32.0,2,0,73.5,8.573214099741124
3,30.72664459161148,0,0,7.2292,2.688717166233741
1,39.0,0,0,0.0,0.0
2,32.0,0,0,10.5,3.24037034920393
2,47.0,0,0,15.0,3.872983346207417
3,44.0,0,0,7.925,2.8151376520518494
2,54.0,1,0,26.0,5.0990195135927845
2,27.0,0,0,13.0,3.605551275463989
3,4.0,3,2,27.9,5.282045058497703
1,61.0,0,0,33.5,5.787918451395113
3,19.0,0,0,10.1708,3.1891691708029537
1,58.0,0,0,29.7,5.449770637375485
3,30.72664459161148,1,0,7.75,2.7838821814150108
1,50.0,2,0,133.65,11.560709320798617
3,30.0,0,0,8.05,2.8372521918222215
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,30.72664459161148,0,0,7.8958,2.8099466187100424
1,45.5,0,0,28.5,5.338539126015656
3,25.0,0,0,7.7417,2.7823910580649875
1,51.0,0,0,26.55,5.152669211195301
2,0.67,1,1,14.5,3.8078865529319543
2,30.72664459161148,0,0,0.0,0.0
2,31.0,0,0,13.0,3.605551275463989
3,24.0,0,0,7.1417,2.6723959287500794
3,30.72664459161148,0,0,7.25,2.692582403567252
2,42.0,1,0,27.0,5.196152422706632
1,36.0,0,0,26.2875,5.127133702177075
3,22.0,0,0,7.25,2.692582403567252
3,11.0,5,2,46.9,6.848357467305573
2,34.0,0,0,13.0,3.605551275463989
3,19.0,0,0,7.8958,2.8099466187100424
1,36.0,0,1,512.3292,22.634690190060034
3,25.0,0,0,7.05,2.6551836094703507
1,18.0,1,0,108.9,10.435516278555651
3,30.72664459161148,0,0,8.7125,2.9516944286290885
2,27.0,0,0,26.0,5.0990195135927845
2,21.0,1,0,11.5,3.391164991562634
2,18.0,0,0,13.0,3.605551275463989
3,28.0,0,0,7.7958,2.792095986888703
2,27.0,0,0,13.0,3.605551275463989
3,48.0,0,0,7.8542,2.8025345671373976
2,25.0,1,0,26.0,5.0990195135927845
3,30.72664459161148,0,0,7.7292,2.7801438811687427
1,40.0,0,0,27.7208,5.26505460560477
2,30.0,1,0,24.0,4.898979485566356
3,26.0,0,0,8.05,2.8372521918222215
3,59.0,0,0,7.25,2.692582403567252
1,47.0,0,0,52.0,7.211102550927978
3,35.0,0,0,7.125,2.669269563007828
3,34.0,0,0,6.4958,2.5486859359285523
2,48.0,0,0,13.0,3.605551275463989
3,7.0,4,1,29.125,5.3967582862307255
1,45.0,0,0,26.55,5.152669211195301
3,26.0,2,0,8.6625,2.9432125305522874
3,26.0,1,0,7.8542,2.8025345671373976
3,20.0,0,0,9.225,3.037268509697488
3,4.0,4,1,29.125,5.3967582862307255
3,29.0,0,0,9.5,3.082207001484488
2,28.0,0,1,33.0,5.744562646538029
3,26.0,0,0,56.4958,7.516368804150047
3,28.0,0,0,56.4958,7.516368804150047
3,50.0,0,0,8.05,2.8372521918222215
1,30.72664459161148,0,0,35.0,5.916079783099616
2,70.0,0,0,10.5,3.24037034920393
3,25.0,1,0,7.775,2.7883686987197374
3,24.0,1,0,16.1,4.012480529547776
2,37.0,1,0,26.0,5.0990195135927845
3,26.0,0,0,7.775,2.7883686987197374
1,65.0,0,0,26.55,5.152669211195301
3,22.0,0,0,9.35,3.057776970284131
3,30.72664459161148,0,0,7.7333,2.780881155317501
3,24.5,0,0,8.05,2.8372521918222215
1,31.0,0,0,50.4958,7.106039684662618
1,28.0,1,0,82.1708,9.064811084628294
3,9.0,5,2,46.9,6.848357467305573
3,22.0,0,0,7.7958,2.792095986888703
1,28.0,0,0,35.5,5.958187643906492
1,30.72664459161148,0,0,39.6,6.29285308902091
3,27.0,0,0,7.7958,2.792095986888703
3,30.72664459161148,1,1,15.2458,3.9045870460267627
1,30.72664459161148,0,0,30.5,5.522680508593631
3,30.72664459161148,0,0,7.8958,2.8099466187100424
3,3.0,1,1,15.9,3.987480407475377
3,21.0,0,0,7.7958,2.792095986888703
1,71.0,0,0,49.5042,7.035922114406896
2,36.0,1,2,27.75,5.267826876426369
2,30.72664459161148,0,0,13.0,3.605551275463989
3,22.0,0,0,7.25,2.692582403567252
3,26.0,1,2,20.575,4.535967372016691
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,39.0,0,0,7.925,2.8151376520518494
3,20.0,1,0,7.925,2.8151376520518494
3,47.0,0,0,9.0,3.0
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,30.72664459161148,0,0,7.7375,2.7816362091402245
2,31.0,0,0,10.5,3.24037034920393
2,42.0,0,0,13.0,3.605551275463989
3,30.72664459161148,8,2,69.55,8.33966426182733
3,32.0,0,0,7.925,2.8151376520518494
3,21.0,0,0,8.6625,2.9432125305522874
3,32.0,1,0,15.85,3.9812058474788765
3,35.0,0,0,7.8958,2.8099466187100424
1,11.0,1,2,120.0,10.954451150103322
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,25.0,0,0,0.0,0.0
3,19.0,0,0,7.775,2.7883686987197374
1,30.72664459161148,0,0,42.4,6.511528238439882
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,31.0,0,0,7.925,2.8151376520518494
3,24.0,0,0,7.4958,2.7378458685616325
3,30.72664459161148,1,0,16.1,4.012480529547776
3,33.0,0,0,7.8958,2.8099466187100424
1,35.0,0,0,512.3292,22.634690190060034
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,21.0,0,0,16.1,4.012480529547776
3,30.72664459161148,1,0,19.9667,4.468411350804669
1,27.0,0,0,76.7292,8.75952053482381
2,30.72664459161148,0,0,15.05,3.8794329482541645
3,17.0,0,0,8.6625,2.9432125305522874
1,25.0,1,0,91.0792,9.543542319285853
3,23.0,0,0,7.8542,2.8025345671373976
1,30.72664459161148,0,0,31.0,5.5677643628300215
2,30.0,0,0,13.0,3.605551275463989
2,1.0,0,2,37.0042,6.083107758374826
3,26.0,0,0,7.8958,2.8099466187100424
2,30.72664459161148,0,0,0.0,0.0
2,50.0,0,0,13.0,3.605551275463989
3,29.0,0,0,7.8958,2.8099466187100424
1,28.0,0,0,26.55,5.152669211195301
3,25.0,0,0,7.8958,2.8099466187100424
2,23.0,0,0,13.0,3.605551275463989
1,48.0,1,0,52.0,7.211102550927978
3,32.0,0,0,56.4958,7.516368804150047
3,30.72664459161148,0,0,7.225,2.6879360111431225
1,47.0,0,0,25.5875,5.0584088407324295
3,22.0,0,0,7.125,2.669269563007828
3,39.0,0,0,7.925,2.8151376520518494
3,44.0,0,1,16.1,4.012480529547776
3,34.0,0,0,8.05,2.8372521918222215
1,37.0,1,0,53.1,7.286974680894672
3,12.0,1,0,11.2417,3.35286444700647
3,25.0,0,0,7.05,2.6551836094703507
2,28.0,0,0,13.5,3.6742346141747673
1,32.0,0,0,30.5,5.522680508593631
3,22.0,0,0,7.2292,2.688717166233741
3,55.5,0,0,8.05,2.8372521918222215
2,32.5,1,0,30.0708,5.483684892478779
3,40.5,0,0,7.75,2.7838821814150108
2,54.0,0,0,26.0,5.0990195135927845
3,19.0,0,0,6.75,2.598076211353316
1,30.72664459161148,0,0,52.0,7.211102550927978
3,20.0,0,0,7.925,2.8151376520518494
2,60.0,1,1,39.0,6.244997998398398
3,30.72664459161148,0,0,8.4583,2.9083156637476613
3,9.0,1,1,15.9,3.987480407475377
3,39.0,1,5,31.275,5.592405564692174
2,51.0,0,0,12.525,3.5390676738372777
3,30.72664459161148,0,0,7.225,2.6879360111431225
3,44.0,0,0,8.05,2.8372521918222215
2,30.0,0,0,13.0,3.605551275463989
3,20.0,0,0,7.8542,2.8025345671373976
3,20.0,1,1,15.7417,3.967581127084864
3,35.0,0,0,8.05,2.8372521918222215
3,30.0,1,0,16.1,4.012480529547776
3,30.72664459161148,1,1,15.2458,3.9045870460267627
3,4.0,4,2,31.275,5.592405564692174
3,16.0,0,0,8.05,2.8372521918222215
1,54.0,0,0,51.8625,7.201562330494682
3,20.5,0,0,7.25,2.692582403567252
3,25.0,0,0,7.65,2.7658633371878665
3,10.0,3,2,27.9,5.282045058497703
2,52.0,0,0,13.5,3.6742346141747673
3,28.0,2,0,7.925,2.8151376520518494
2,34.0,0,0,13.0,3.605551275463989
3,1.0,5,2,46.9,6.848357467305573
3,28.0,0,0,7.8958,2.8099466187100424
2,35.0,0,0,26.0,5.0990195135927845
3,43.0,0,0,6.45,2.539685019840059
1,61.0,0,0,32.3208,5.685138520739842
3,18.0,0,0,8.3,2.8809720581775866
3,2.0,4,1,39.6875,6.299801584177076
3,26.0,0,0,18.7875,4.334454983039967
3,17.0,1,1,7.2292,2.688717166233741
3,14.0,5,2,46.9,6.848357467305573
2,30.72664459161148,0,0,13.8625,3.723237838226293
3,30.72664459161148,0,0,7.8958,2.8099466187100424
1,64.0,0,0,26.0,5.0990195135927845
3,45.0,0,0,8.05,2.8372521918222215
3,39.0,0,0,24.15,4.914264950122246
3,32.0,0,0,7.925,2.8151376520518494
3,42.0,0,0,7.55,2.7477263328068173
3,21.0,0,0,8.4333,2.904014462773903
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,19.0,0,0,7.65,2.7658633371878665
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,30.72664459161148,8,2,69.55,8.33966426182733
1,25.0,1,0,55.4417,7.445918344972633
3,29.0,1,0,7.0458,2.654392585884763
3,8.0,4,1,29.125,5.3967582862307255
1,64.0,1,4,263.0,16.217274740226856
3,30.72664459161148,0,0,6.95,2.6362852652928135
2,33.0,0,0,12.275,3.50356960827097
3,30.72664459161148,0,0,8.05,2.8372521918222215
2,23.0,0,0,10.5,3.24037034920393
3,30.5,0,0,8.05,2.8372521918222215
2,29.0,1,0,21.0,4.58257569495584
1,56.0,0,0,26.55,5.152669211195301
3,22.0,0,0,8.05,2.8372521918222215
3,70.5,0,0,7.75,2.7838821814150108
1,0.92,1,2,151.55,12.310564568694646
3,30.0,0,0,9.5,3.082207001484488
3,22.0,0,0,7.5208,2.7424077012727337
3,19.0,0,0,8.1583,2.856273796399778
2,23.0,0,0,15.0458,3.878891594257308
3,30.72664459161148,0,0,7.25,2.692582403567252
1,27.0,0,0,30.5,5.522680508593631
3,24.0,2,0,24.15,4.914264950122246
2,2.0,1,1,26.0,5.0990195135927845
3,30.72664459161148,0,0,15.1,3.8858718455450894
3,30.72664459161148,1,0,19.9667,4.468411350804669
2,23.0,0,0,13.0,3.605551275463989
3,32.0,0,0,8.3625,2.891798748184251
3,40.5,0,2,14.5,3.8078865529319543
2,34.0,1,0,21.0,4.58257569495584
3,1.0,4,1,39.6875,6.299801584177076
2,39.0,0,0,13.0,3.605551275463989
3,27.0,0,0,8.6625,2.9432125305522874
3,22.0,0,0,7.225,2.6879360111431225
3,30.72664459161148,1,0,15.5,3.9370039370059056
1,30.72664459161148,0,0,0.0,0.0
3,36.0,1,0,15.55,3.943348830626071
3,30.72664459161148,0,0,7.8958,2.8099466187100424
2,19.0,0,0,13.0,3.605551275463989
3,2.0,3,1,21.075,4.590751572455212
1,31.0,1,0,52.0,7.211102550927978
3,25.0,1,0,7.775,2.7883686987197374
3,16.0,0,0,8.05,2.8372521918222215
3,23.0,0,0,9.225,3.037268509697488
2,24.0,2,0,73.5,8.573214099741124
3,30.72664459161148,0,0,7.8958,2.8099466187100424
1,38.0,1,0,90.0,9.486832980505138
1,30.72664459161148,0,0,26.55,5.152669211195301
2,3.0,1,1,26.0,5.0990195135927845
3,30.72664459161148,0,0,7.25,2.692582403567252
1,37.0,0,1,29.7,5.449770637375485
3,28.0,1,0,15.85,3.9812058474788765
1,54.0,0,1,77.2875,8.791330957255562
2,19.0,0,0,10.5,3.24037034920393
2,19.0,1,1,36.75,6.06217782649107
3,20.0,0,0,7.2292,2.688717166233741
1,45.0,0,0,35.5,5.958187643906492
3,42.0,0,0,8.6625,2.9432125305522874
3,32.0,0,0,56.4958,7.516368804150047
3,19.0,0,0,14.5,3.8078865529319543
3,30.72664459161148,0,0,7.775,2.7883686987197374
1,24.0,0,0,79.2,8.899438184514796
1,19.0,1,0,53.1,7.286974680894672
1,38.0,0,1,153.4625,12.3879982240877
3,51.0,0,0,7.0542,2.6559743974669634
1,29.0,0,0,30.0,5.477225575051661
3,2.0,4,1,29.125,5.3967582862307255
3,22.0,0,0,7.8958,2.8099466187100424
1,56.0,0,0,30.6958,5.5403790484045405
3,30.72664459161148,0,0,7.225,2.6879360111431225
3,47.0,0,0,7.25,2.692582403567252
1,22.0,0,0,135.6333,11.646171044596588
3,24.0,0,0,7.8958,2.8099466187100424
3,28.0,0,0,7.8958,2.8099466187100424
2,29.83787050565516,1,0,24.32566438716622,4.929666873343864
1,40.422651523221035,1,0,89.80270806959078,9.476408779014857
2,36.62160748099171,0,0,55.197186067934844,7.428192504175958
3,20.190498953860285,0,0,7.337136707257237,2.708410723419821
1,23.69733197458346,0,0,60.59805084500629,7.7806221977396985
3,32.0,0,0,8.0311686312963,2.833913170417949
3,30.72664459161148,0,0,8.059964199523668,2.838756874564825
3,32.0,0,0,7.882348099092996,2.807545201078774
1,29.314920671896186,0,0,24.958579456740686,4.993120220654478
2,3.8114494704633604,3,1,32.257779557071956,5.6770632172772135
2,33.02707035111784,0,0,13.0,3.605551275463989
2,6.146512834685405,0,1,36.817308062489,6.067719735079278
2,33.04535810368857,0,0,55.67172329970023,7.460558966348193
2,36.58552026172434,0,0,54.688371333638734,7.393962357430526
3,20.0,1,0,10.302962085639296,3.1657289360298586
1,31.017669997954386,0,0,28.85436491934999,5.369606460389521
3,10.600360583232511,1,0,11.2227348859028,3.350029400325861
2,30.785013941414597,0,0,13.0,3.605551275463989
1,43.549907673813046,0,0,26.423116921458643,5.140326262637765
2,1.3959993093819874,0,1,26.32650095798831,5.109980171420187
3,25.0,0,0,7.745872515617862,2.7779226323887274
2,30.72664459161148,0,0,13.077661220875626,3.615892126397905
1,29.522267825809887,0,0,28.30862437886236,5.31853899248903
3,30.641362925138267,0,0,7.977452307998389,2.8228546364432465
2,40.490343133268965,0,0,13.0,3.605551275463989
3,27.318125770485214,0,0,17.79982133052427,4.214577130009084
3,40.49821085013615,0,0,7.925,2.8151376520518494
1,30.72664459161148,0,0,29.89431151184131,5.465943398891648
2,30.72664459161148,0,0,13.738579701744856,3.7063291379849854
2,3.0,1,1,17.59715183770176,4.191523679861077
1,25.78560930867328,0,0,55.56000153889607,7.453824993048359
3,30.767394106377747,0,0,7.3329239853475645,2.707562864162211
3,32.0,0,0,8.037397331868462,2.835017591708748
3,28.570681302227886,0,0,7.874334065111395,2.8061148137060687
1,25.33101174528577,0,0,55.79061948070573,7.469238274421133
1,30.322746485745817,0,0,26.23062235820995,5.121515549553408
1,40.182061902203394,0,0,76.7292,8.75952053482381
1,30.72664459161148,0,0,30.047226033744884,5.4802078133524175
1,45.92176571356389,0,0,26.640859763194157,5.161216780575923
3,30.804255925610907,0,0,7.426752214222328,2.724610593794002
3,30.72664459161148,0,0,7.60833240502403,2.7579387220705787
3,20.514386246413775,0,0,7.520651247218043,2.7418938097491297
3,31.297647899335004,0,0,7.5094650893664046,2.7397556366908855
2,2.0055425373891795,1,1,26.0,5.0990195135927845
3,18.527775758032035,0,0,8.005279800769419,2.8293080750593425
2,2.981924636384479,1,1,26.0,5.0990195135927845
3,2.188139500356696,0,1,9.809022295148974,3.1249448976962215
1,32.0,0,0,29.69529780850402,5.446920301676175
3,3.564302171720938,0,1,11.222448977210629,3.310145678733156
3,26.488341046113124,0,0,8.4354513392127,2.9035989140466483
1,17.6974418179489,0,1,229.48341627010154,14.21393954134688
1,42.924182375557166,0,0,26.368365957861254,5.135000191305584
3,26.085080461109797,0,0,3.7842181081204225,1.432860971919355
1,45.05288446103256,0,0,26.421063695170176,5.1401265286247915
3,32.0,0,0,7.899252349367561,2.81055432115823
1,30.760621827928436,1,0,87.48507290300986,9.347174797323095
1,63.48361626830477,0,0,30.294935423780274,5.504038115225871
3,18.063321425174973,0,0,8.044634564573508,2.836299073404927
3,28.300657164795137,0,0,20.95958685758157,4.571678699586654
2,32.93901212281446,0,0,56.125678981671456,7.4913026980552395
1,35.43439436551043,0,0,512.3292,22.634690190060034
3,5.750392038473379,1,1,12.802018745958211,3.564498176268342
3,26.29020672406113,0,0,7.788418149930235,2.7907731848487938
1,27.564878302806093,0,0,30.16553797016845,5.49227460991702
1,42.81499460956858,1,0,52.47892166456285,7.244221783817057
3,1.0138779920632126,0,1,10.216226891007874,3.164439269440768
3,28.359509689200518,0,0,17.01950680646217,4.11986775465826
3,29.98764795694359,0,0,7.514502000807158,2.7406028628257677
1,27.537108028612618,0,0,27.348488650643233,5.227786478741196
3,9.130811315263301,1,0,15.696880550036322,3.95980875798337
1,30.72664459161148,0,0,30.478474517649495,5.520664136023597
2,19.530055486009058,0,0,8.766294516361576,2.947963553196223
3,27.559120683593516,0,0,8.448161085944426,2.9059566666878127
1,30.72664459161148,0,0,27.010198612048278,5.195777739171223
3,21.252281226102586,0,0,7.651797876140644,2.765818380496792
3,31.940243782602266,0,0,7.849310086459895,2.8016592451268494
2,1.440648209882297,1,1,14.96305042653872,3.867287275039143
1,42.91958536480961,1,0,89.59936685729123,9.465664955058694
1,29.861462345854193,0,0,30.5,5.522680508593631
1,48.0,1,0,52.486384199969166,7.241557480416803
3,11.397229951950974,1,0,11.233532465848935,3.3516435030951883
3,27.444921162885507,0,0,20.15167294856905,4.483442660831232
